	0.52	0.48
9f85676a-7411-444a-8ae2-c7f8f73c285c	0.52	0.48
f7847de2-df43-4236-8dbe-ae403f5f3ab3	0.52	0.48
76c4853b-7fbc-4688-8cda-c5b8de1724e4	0.52	0.48
21cbbfaa-100e-48c5-9cea-7118b0d08a34	0.52	0.48
c755efce-d04d-4e00-b5c1-d801070d3808	0.52	0.48
8c8cc584-199b-4b76-b2cd-eaa9a74965e5	0.52	0.48
3afb30c1-1b12-466a-968a-5a9a21458c7f	0.52	0.48
817dee99-9ccf-4f41-84e3-dc9773237bc8	0.52	0.48
262c49c6-8301-487d-8356-747023fa46a9	0.52	0.48
c9e4a49e-e35a-4034-a4c7-293896b40c58	0.52	0.48
3d4545ed-6217-4d7a-9c4a-209265eb6404	0.11	0.89
c86b5add-6c9a-40e0-aa43-e4fd7dd4f2c7	0.22	0.78
15d3a844-df6b-4193-a8f5-9ab129312d8d	0.33	0.67
6c346d8b-d186-4228-9adb-ae919d7131dd	0.67	0.33
70a458ed-25ca-4ff8-97fc-21cbf58f2c2a	0.45	0.55
4bda6584-6c21-4185-8895-47d07e8ad0c0	0.45	0.55
03097200-0d48-4236-a3d2-8bdb153aa8f7	0.64	0.36
32810dca-825c-4dbc-8b65-0702794c424e	0.31	0.69
f7715b05-ee69-43e5-a0e5-8e3d34270c82	0.54	0.46
6fc3689f-bb7d-4382-98a2-cf6ddc76909d	0.29	0.71
b86237bb-ade6-4b1d-9199-a3cc354118d9	0.36	0.64
57448b62-f952-40e2-820c-48d8afe0f64d	0.27	0.73
c83a13f6-ee66-4b1c-9747-faa67395a6f1	0.67	0.33
0fe896e1-108c-4ce9-97be-3470dde73c21	0.73	0.27
766dfd1e-11c3-42b6-a167-9b2d568b5dc0	0.44	0.56
8e1fd784-99d5-41c1-a6c5-6b947cec6714	0.75	0.25
cf8e152e-2d27-4dcc-ba2b-68127de4e6a4	0.88	0.13
06ced607-7f96-41e7-a8cd-b501d11d1a7e	0.24	0.76
a1628d97-16ca-4a75-b8df-569bae02bef9	0.53	0.47
a38ada0a-aeac-4a3d-b9a5-968687ccd2f9	0.47	0.53
b7267aba-6114-4d53-a519-bf6c99f4e3a9	0.58	0.42
472f50c0-ef98-4d05-91d0-d6359eec3946	0.79	0.21
23110c0f-2cf9-4d9c-ab2d-634f2f18867e	0.30	0.70
190a0f31-d686-4ac4-a7f3-cfc87b72c145	0.60	0.40
f8c20693-f439-4a29-a421-05ed92749f10	0.65	0.35
c675fcdf-6117-49a6-ac32-99a89a3a88aa	0.10	0.90
5ca7e854-dc00-4955-9235-d7fcd732ddcf	0.38	0.62
1a93a2d2-b5b6-479b-a595-703e4a2f3885	0.57	0.43
25376b55-bb6f-48a7-9381-7b8210842fad	0.68	0.32
12577256-bc4e-4955-81d6-b422d895fb12	0.77	0.23
d1a7c13f-8e78-4d2e-9cae-ebf3a5fcdb5d	0.82	0.18
ea44bd36-65b4-4f3b-ac71-78d87a540b48	0.30	0.70
7932c7c7-babb-4245-b9f5-cdadb97c99fb	0.35	0.65
020ed630-8bae-4441-95cc-0e4ecc27253b	0.39	0.61
87e6ae4b-67de-4973-aa56-0fc9835a1e1e	0.43	0.57
43bf6a6d-cc03-4bcf-938d-620e185433e1	0.48	0.52
4f69e8c2-b2a1-4e98-996a-ccf35ac844c5	0.48	0.52
2b5f5dd7-e31f-4829-bec5-546652103bc0	0.61	0.39
446a3366-3fe3-41bb-bfdd-d8717f2152a9	0.65	0.35
cd68d3a6-7fbc-445d-90f1-970c955e32f4	0.33	0.67
3a96d76a-c508-45a0-94a0-8f64cd6beeb4	0.67	0.33
bd8d58b6-f37f-48e6-9919-8e14ec91f92a	0.67	0.33
0eea4a48-c84b-4538-97e7-3303671934d2	0.75	0.25
7dcf6902-632f-48c5-936a-7cf88802b93a	0.28	0.72
ce0e57a7-89f5-41ea-80f9-6e649dd54089	0.32	0.68
2b1cb8a2-9eba-4fce-85cf-5d997ec45714	0.32	0.68
3064c7d6-91cc-4c2a-a433-1ce1aabc1ad4	0.36	0.64
d35ccee1-9559-49a1-aaa4-7809f7b5c46e	0.44	0.56
84a2b5f6-4955-4007-9299-3d35ae7135d3	0.52	0.48
bfd9ff52-9bf6-4aaf-a859-d308d8f29616	0.56	0.44
d6c69d2d-9344-4b19-85a4-6cfcbaead5d2	0.60	0.40
2175cda0-a427-40fd-b497-347edcc1cd61	0.80	0.20
80e474a3-7d2b-431d-8192-2f1e27162607	0.88	0.12
2ca0c790-e1d5-4a14-ab3c-e9241c87fc23	0.23	0.77
05bd08d5-7d9f-450b-abfa-1788b8ee8b91	0.62	0.38
4b6f0a4e-de18-44ad-b497-03b1f470c43c	0.65	0.35
f3ddfd87-73a2-4681-96fe-829476c97886	0.52	0.48
89f74891-2e25-4b5a-bd99-c95ba3f36aa0	0.78	0.22
